3.23	2.81	2.88	2.60	7.00	6.47	7.15	6.93	7.57	6.95	7.71	7.00
2.78	2.69	2.59	2.70	7.67	7.25	6.43	6.30	7.48	6.13	7.84	6.91
3.81	3.83	2.61	2.35	7.36	6.47	7.11	6.61	7.37	6.15	7.72	7.06
2.79	2.76	2.70	2.71	7.03	6.11	6.49	6.35	7.36	6.31	7.88	6.94
2.81	2.58	2.86	2.30	7.17	6.63	7.32	6.94	7.38	6.40	7.79	6.63
3.55	2.52	2.58	2.96	7.67	6.65	7.05	6.89	7.30	6.30	7.68	6.78
3.73	3.51	2.65	2.76	6.78	7.02	7.04	6.95	7.26	6.43	7.61	6.37
2.25	3.81	2.94	2.64	7.43	5.68	6.08	6.20	7.67	6.03	7.69	6.57
2.76	1.90	2.99	2.48	7.45	6.52	6.18	4.97	7.36	6.16	7.77	6.65
2.59	3.62	2.87	2.51	7.77	6.56	6.94	6.84	7.49	6.24	7.67	6.82
3.41	3.88	2.51	2.61	7.69	7.50	6.60	6.35	7.64	6.20	7.70	6.97
2.51	3.44	2.96	2.64	6.72	6.80	6.76	7.08	7.54	6.45	7.74	7.06
2.69	3.81	2.80	2.67	7.30	6.12	6.78	6.85	7.44	6.04	7.74	6.18
2.29	2.66	2.81	2.78	7.49	7.22	6.79	6.72	7.61	6.36	7.94	6.15
3.44	2.48	2.56	2.40	6.93	7.07	6.26	7.10	7.35	6.23	7.90	5.93

