113	89	49	49	50	48
82	86	51	51	51	47
125	102	52	49	49	48
119	99	52	47	47	48
125	94	53	53	48	48
97	93	49	51	49	47
98	101	49	52	48	47
123	92	53	50	50	47
93	94	48	51	49	47
127	95	53	53	50	47
90	89	51	53	48	47
102	87	47	54	48	47
129	94	49	53	49	48
94	89	50	53	50	48
84	90	51	49	50	47
115	86	50	51	49	46
90	102	51	54	49	48
126	92	48	50	48	48
118	95	47	49	50	47
89	93	50	52	49	48
83	87	48	54	49	48
119	96	48	50	49	48
101	95	50	51	49	47
125	96	47	49	50	48
120	98	51	53	50	47
87	92	52	51	50	48
127	91	50	54	49	48
111	94	48	51	48	48
82	88	54	54	49	48
126	89	51	49	49	48
