21:13:03.360674 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 25705:27133, ack 1, win 4017, options [nop,nop,TS val 63503 ecr 4294816653,mptcp dss ack 3380555454 seq 2130129666 subseq 25705 len 1428 csum 0xc01], length 1428
21:13:03.427734 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 27133:28561, ack 1, win 4017, options [nop,nop,TS val 63503 ecr 4294816653,mptcp dss ack 3380555454 seq 2130131094 subseq 27133 len 1428 csum 0xd59d], length 1428
21:13:03.545865 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 28561:29989, ack 1, win 4017, options [nop,nop,TS val 63688 ecr 4294816731,mptcp dss ack 3380555454 seq 2130138234 subseq 28561 len 1428 csum 0x9700], length 1428
21:13:03.621488 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 29989:31417, ack 1, win 4017, options [nop,nop,TS val 63688 ecr 4294816731,mptcp dss ack 3380555454 seq 2130139662 subseq 29989 len 1428 csum 0xffb6], length 1428
21:13:03.685182 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 31417:32845, ack 1, win 4017, options [nop,nop,TS val 63782 ecr 4294816800,mptcp dss ack 3380555454 seq 2130143946 subseq 31417 len 1428 csum 0xc47a], length 1428
21:13:03.741254 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 32845:34273, ack 1, win 4017, options [nop,nop,TS val 63782 ecr 4294816800,mptcp dss ack 3380555454 seq 2130145374 subseq 32845 len 1428 csum 0x603e], length 1428
21:13:03.840206 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 34273:35701, ack 1, win 4017, options [nop,nop,TS val 63982 ecr 4294817034,mptcp dss ack 3380555454 seq 2130155370 subseq 34273 len 1428 csum 0xa854], length 1428
21:13:03.899248 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 35701:37129, ack 1, win 4017, options [nop,nop,TS val 63982 ecr 4294817034,mptcp dss ack 3380555454 seq 2130156798 subseq 35701 len 1428 csum 0xd061], length 1428
21:13:03.970052 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 37129:38557, ack 1, win 4017, options [nop,nop,TS val 63982 ecr 4294817034,mptcp dss ack 3380555454 seq 2130158226 subseq 37129 len 1428 csum 0x9427], length 1428
21:13:04.051486 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 38557:39985, ack 1, win 4017, options [nop,nop,TS val 63982 ecr 4294817034,mptcp dss ack 3380555454 seq 2130159654 subseq 38557 len 1428 csum 0x7172], length 1428
21:13:04.123776 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 39985:41413, ack 1, win 4017, options [nop,nop,TS val 64246 ecr 4294817233,mptcp dss ack 3380555454 seq 2130168222 subseq 39985 len 1428 csum 0xf5a5], length 1428
21:13:04.193759 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 41413:42841, ack 1, win 4017, options [nop,nop,TS val 64246 ecr 4294817233,mptcp dss ack 3380555454 seq 2130169650 subseq 41413 len 1428 csum 0xf344], length 1428
21:13:04.810201 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 42841:44269, ack 1, win 4017, options [nop,nop,TS val 64953 ecr 4294818059,mptcp dss ack 3380555454 seq 2130178218 subseq 42841 len 1428 csum 0xf84c], length 1428
21:13:04.993700 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 44269:45697, ack 1, win 4017, options [nop,nop,TS val 65137 ecr 4294818231,mptcp dss ack 3380555454 seq 2130182502 subseq 44269 len 1428 csum 0xb713], length 1428
21:13:05.052881 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 45697:47125, ack 1, win 4017, options [nop,nop,TS val 65191 ecr 4294818303,mptcp dss ack 3380555454 seq 2130185358 subseq 45697 len 1428 csum 0x7f2f], length 1428
21:13:05.141124 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 21421:22849, ack 1, win 4017, options [nop,nop,TS val 65255 ecr 4294818407,mptcp dss ack 3380555454 seq 2130103962 subseq 21421 len 1428 csum 0xbdea], length 1428
21:13:05.255750 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 27133:28561, ack 1, win 4017, options [nop,nop,TS val 65396 ecr 4294818813,mptcp dss ack 3380555454 seq 2130131094 subseq 27133 len 1428 csum 0xd59d], length 1428
21:13:05.457650 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 47125:48553, ack 1, win 4017, options [nop,nop,TS val 65601 ecr 4294818865,mptcp dss ack 3380555454 seq 2130198210 subseq 47125 len 1428 csum 0x5517], length 1428
21:13:05.759849 IP 112.26.1.1.40367 > 112.26.1.8.35583: Flags [.], seq 48553:49981, ack 1, win 4017, options [nop,nop,TS val 65904 ecr 4294819051,mptcp dss ack 3380555454 seq 2130213918 subseq 48553 len 1428 csum 0xd10e], length 1428
