20:00:09.168801 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 36201:37649, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.177291 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 23169:24617, ack 1, win 1358, options [nop,nop,TS val 165328 ecr 4294905061], length 1448
20:00:09.270303 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 24617:26065, ack 1, win 1358, options [nop,nop,TS val 165328 ecr 4294905061], length 1448
20:00:09.362432 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 26065:27513, ack 1, win 1358, options [nop,nop,TS val 165342 ecr 4294905150], length 1448
20:00:09.392458 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 455, options [nop,nop,TS val 4294905764 ecr 164325,nop,nop,sack 1 {14481:17377}], length 0
20:00:09.392749 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 11585:13033, ack 1, win 1358, options [nop,nop,TS val 165951 ecr 4294905764], length 1448
20:00:09.392791 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 37649:39097, ack 1, win 1358, options [nop,nop,TS val 165951 ecr 4294905764], length 1448
20:00:09.461681 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 477, options [nop,nop,TS val 4294905841 ecr 164325,nop,nop,sack 2 {18825:20273}{14481:17377}], length 0
20:00:09.475191 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 500, options [nop,nop,TS val 4294905940 ecr 164325,nop,nop,sack 3 {21721:23169}{18825:20273}{14481:17377}], length 0
20:00:09.475455 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 13033:14481, ack 1, win 1358, options [nop,nop,TS val 166034 ecr 4294905940], length 1448
20:00:09.567677 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 28961:30409, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.594002 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 523, options [nop,nop,TS val 4294906053 ecr 164325,nop,nop,sack 3 {21721:24617}{18825:20273}{14481:17377}], length 0
20:00:09.664649 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 30409:31857, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.763697 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 31857:33305, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.787141 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 33305:34753, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.865029 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 34753:36201, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.890773 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 11585:13033, ack 1, win 1358, options [nop,nop,TS val 165951 ecr 4294905764], length 1448
20:00:09.989795 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 37649:39097, ack 1, win 1358, options [nop,nop,TS val 165951 ecr 4294905764], length 1448
20:00:10.002840 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 591, options [nop,nop,TS val 4294906444 ecr 164325,nop,nop,sack 3 {28961:30409}{21721:27513}{18825:20273}], length 0
20:00:10.003150 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 17377:18825, ack 1, win 1358, options [nop,nop,TS val 166561 ecr 4294906444], length 1448
20:00:10.003200 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 20273:21721, ack 1, win 1358, options [nop,nop,TS val 166561 ecr 4294906444], length 1448
20:00:10.003241 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 27513:28961, ack 1, win 1358, options [nop,nop,TS val 166561 ecr 4294906444], length 1448
20:00:10.092299 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 613, options [nop,nop,TS val 4294906541 ecr 164325,nop,nop,sack 3 {28961:31857}{21721:27513}{18825:20273}], length 0
20:00:10.092517 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 39097:40545, ack 1, win 1358, options [nop,nop,TS val 166650 ecr 4294906541], length 1448
20:00:10.162932 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 636, options [nop,nop,TS val 4294906640 ecr 164325,nop,nop,sack 3 {28961:33305}{21721:27513}{18825:20273}], length 0
20:00:10.163305 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 40545:41993, ack 1, win 1358, options [nop,nop,TS val 166721 ecr 4294906640], length 1448
20:00:10.175721 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 658, options [nop,nop,TS val 4294906744 ecr 164325,nop,nop,sack 3 {28961:34753}{21721:27513}{18825:20273}], length 0
20:00:10.175984 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 41993:43441, ack 1, win 1358, options [nop,nop,TS val 166734 ecr 4294906744], length 1448
20:00:10.319943 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 681, options [nop,nop,TS val 4294906759 ecr 164325,nop,nop,sack 3 {28961:36201}{21721:27513}{18825:20273}], length 0
20:00:10.320225 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 43441:44889, ack 1, win 1358, options [nop,nop,TS val 166879 ecr 4294906759], length 1448
20:00:10.405179 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 13033, win 704, options [nop,nop,TS val 4294906846 ecr 165951,nop,nop,sack 3 {28961:36201}{21721:27513}{18825:20273}], length 0
20:00:10.405480 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 36201:37649, ack 1, win 1358, options [nop,nop,TS val 166964 ecr 4294906846], length 1448
20:00:10.405521 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 44889:46337, ack 1, win 1358, options [nop,nop,TS val 166964 ecr 4294906846], length 1448
