20:00:08.783561 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 26065:27513, ack 1, win 1358, options [nop,nop,TS val 165342 ecr 4294905150], length 1448
20:00:08.783615 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 27513:28961, ack 1, win 1358, options [nop,nop,TS val 165342 ecr 4294905150], length 1448
20:00:08.856150 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 14481:15929, ack 1, win 1358, options [nop,nop,TS val 164721 ecr 4294904745], length 1448
20:00:08.888136 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 15929:17377, ack 1, win 1358, options [nop,nop,TS val 164721 ecr 4294904745], length 1448
20:00:08.964480 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 18825:20273, ack 1, win 1358, options [nop,nop,TS val 164958 ecr 4294904851], length 1448
20:00:09.063708 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 21721:23169, ack 1, win 1358, options [nop,nop,TS val 165130 ecr 4294904951], length 1448
20:00:09.168161 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 11585, win 410, options [nop,nop,TS val 4294905540 ecr 164325], length 0
20:00:09.168400 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 28961:30409, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.168447 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 30409:31857, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.168547 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 31857:33305, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.168630 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 33305:34753, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
20:00:09.168724 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 34753:36201, ack 1, win 1358, options [nop,nop,TS val 165727 ecr 4294905540], length 1448
